symbol,sector
UEM,Công nghiệp nặng
VEA,Công nghiệp nặng
APL,Công nghiệp nặng
BCV,Du lịch & Giải trí
BLN,Du lịch & Giải trí
BSG,Du lịch & Giải trí
BTV,Du lịch & Giải trí
DAH,Du lịch & Giải trí
DLD,Du lịch & Giải trí
DLT,Du lịch & Giải trí
DNT,Du lịch & Giải trí
DSD,Du lịch & Giải trí
DSN,Du lịch & Giải trí
DSP,Du lịch & Giải trí
DTI,Du lịch & Giải trí
DXL,Du lịch & Giải trí
EIN,Du lịch & Giải trí
GTT,Du lịch & Giải trí
HES,Du lịch & Giải trí
HGT,Du lịch & Giải trí
HHG,Du lịch & Giải trí
HOT,Du lịch & Giải trí
HVN,Du lịch & Giải trí
KLF,Du lịch & Giải trí
MAS,Du lịch & Giải trí
MTC,Du lịch & Giải trí
NWT,Du lịch & Giải trí
ONW,Du lịch & Giải trí
PDC,Du lịch & Giải trí
PGT,Du lịch & Giải trí
PNG,Du lịch & Giải trí
RIC,Du lịch & Giải trí
SCS,Du lịch & Giải trí
SGH,Du lịch & Giải trí
SKG,Du lịch & Giải trí
STT,Du lịch & Giải trí
TCT,Du lịch & Giải trí
TPS,Du lịch & Giải trí
TSD,Du lịch & Giải trí
TSJ,Du lịch & Giải trí
TTT,Du lịch & Giải trí
VIR,Du lịch & Giải trí
VJC,Du lịch & Giải trí
VNG,Du lịch & Giải trí
ATS,Du lịch & Giải trí
CTC,Du lịch & Giải trí
VNS,Du lịch & Giải trí
VTD,Du lịch & Giải trí
VTG,Du lịch & Giải trí
VTM,Du lịch & Giải trí
VTR,Du lịch & Giải trí
BCP,Dược phẩm
BIO,Dược phẩm
CDP,Dược phẩm
CNC,Dược phẩm
DAN,Dược phẩm
DBD,Dược phẩm
DBM,Dược phẩm
DBT,Dược phẩm
DCL,Dược phẩm
DDN,Dược phẩm
DHD,Dược phẩm
DHG,Dược phẩm
DHN,Dược phẩm
DMC,Dược phẩm
DP1,Dược phẩm
DP2,Dược phẩm
DP3,Dược phẩm
DPH,Dược phẩm
DPP,Dược phẩm
DTG,Dược phẩm
DTP,Dược phẩm
DVM,Dược phẩm
DVN,Dược phẩm
FIT,Dược phẩm
GPC,Dược phẩm
HDP,Dược phẩm
IMP,Dược phẩm
LDP,Dược phẩm
APC,Dược phẩm
MED,Dược phẩm
MKP,Dược phẩm
MKV,Dược phẩm
MTP,Dược phẩm
NDC,Dược phẩm
NTF,Dược phẩm
OPC,Dược phẩm
PBC,Dược phẩm
PMC,Dược phẩm
PPP,Dược phẩm
SPM,Dược phẩm
AMP,Dược phẩm
TRA,Dược phẩm
TW3,Dược phẩm
UPH,Dược phẩm
VDP,Dược phẩm
VHE,Dược phẩm
AGP,Dược phẩm
NDP,Dược phẩm
VMD,Dược phẩm
BCG,Dịch vụ tài chính
BMS,Dịch vụ tài chính
BSI,Dịch vụ tài chính
BVS,Dịch vụ tài chính
CSI,Dịch vụ tài chính
CTS,Dịch vụ tài chính
APS,Dịch vụ tài chính
DSC,Dịch vụ tài chính
DSE,Dịch vụ tài chính
EVF,Dịch vụ tài chính
EVS,Dịch vụ tài chính
FTS,Dịch vụ tài chính
HAC,Dịch vụ tài chính
HBS,Dịch vụ tài chính
HCM,Dịch vụ tài chính
HVA,Dịch vụ tài chính
IBC,Dịch vụ tài chính
IVS,Dịch vụ tài chính
MBS,Dịch vụ tài chính
OGC,Dịch vụ tài chính
ORS,Dịch vụ tài chính
PHS,Dịch vụ tài chính
PSI,Dịch vụ tài chính
SBS,Dịch vụ tài chính
ART,Dịch vụ tài chính
SHS,Dịch vụ tài chính
SSI,Dịch vụ tài chính
TCI,Dịch vụ tài chính
TIN,Dịch vụ tài chính
TVB,Dịch vụ tài chính
TVC,Dịch vụ tài chính
TVS,Dịch vụ tài chính
VCI,Dịch vụ tài chính
VDS,Dịch vụ tài chính
VFS,Dịch vụ tài chính
VIG,Dịch vụ tài chính
VIX,Dịch vụ tài chính
VND,Dịch vụ tài chính
APG,Dịch vụ tài chính
AGR,Dịch vụ tài chính
ABW,Dịch vụ tài chính
AAS,Dịch vụ tài chính
VUA,Dịch vụ tài chính
WSS,Dịch vụ tài chính
BDG,Hàng cá nhân
BMG,Hàng cá nhân
BVN,Hàng cá nhân
CET,Hàng cá nhân
DCG,Hàng cá nhân
DM7,Hàng cá nhân
EVE,Hàng cá nhân
FTM,Hàng cá nhân
G20,Hàng cá nhân
GIL,Hàng cá nhân
GMC,Hàng cá nhân
GTD,Hàng cá nhân
HCB,Hàng cá nhân
HDM,Hàng cá nhân
HLT,Hàng cá nhân
HNI,Hàng cá nhân
HSM,Hàng cá nhân
HTG,Hàng cá nhân
HUG,Hàng cá nhân
KMR,Hàng cá nhân
LGM,Hàng cá nhân
LIX,Hàng cá nhân
M10,Hàng cá nhân
MGG,Hàng cá nhân
MNB,Hàng cá nhân
MPT,Hàng cá nhân
MSH,Hàng cá nhân
BBT,Hàng cá nhân
NDT,Hàng cá nhân
NJC,Hàng cá nhân
NTT,Hàng cá nhân
PNJ,Hàng cá nhân
PPH,Hàng cá nhân
PTG,Hàng cá nhân
SGI,Hàng cá nhân
SPB,Hàng cá nhân
ASA,Hàng cá nhân
SSF,Hàng cá nhân
STK,Hàng cá nhân
SVD,Hàng cá nhân
TCM,Hàng cá nhân
TDT,Hàng cá nhân
TET,Hàng cá nhân
THM,Hàng cá nhân
TLI,Hàng cá nhân
TNG,Hàng cá nhân
TNV,Hàng cá nhân
TTG,Hàng cá nhân
TVT,Hàng cá nhân
VDG,Hàng cá nhân
VDN,Hàng cá nhân
VGG,Hàng cá nhân
VGT,Hàng cá nhân
ADS,Hàng cá nhân
AG1,Hàng cá nhân
A32,Hàng cá nhân
AAT,Hàng cá nhân
NET,Hàng cá nhân
VTI,Hàng cá nhân
X20,Hàng cá nhân
X26,Hàng cá nhân
XPH,Hàng cá nhân
BPC,Hàng công nghiệp
BTG,Hàng công nghiệp
BXH,Hàng công nghiệp
BBS,Hàng công nghiệp
DPC,Hàng công nghiệp
HBD,Hàng công nghiệp
HDO,Hàng công nghiệp
HPB,Hàng công nghiệp
ILS,Hàng công nghiệp
INN,Hàng công nghiệp
MCP,Hàng công nghiệp
NHP,Hàng công nghiệp
PBP,Hàng công nghiệp
PBT,Hàng công nghiệp
PMP,Hàng công nghiệp
QHD,Hàng công nghiệp
SBG,Hàng công nghiệp
SDG,Hàng công nghiệp
BBH,Hàng công nghiệp
STP,Hàng công nghiệp
SVG,Hàng công nghiệp
SVI,Hàng công nghiệp
TB8,Hàng công nghiệp
TDP,Hàng công nghiệp
TKA,Hàng công nghiệp
TPP,Hàng công nghiệp
VHG,Hàng công nghiệp
BAL,Hàng công nghiệp
APH,Hàng công nghiệp
VBC,Hàng công nghiệp
BKG,Hàng gia dụng
DCS,Hàng gia dụng
DQC,Hàng gia dụng
FBA,Hàng gia dụng
GDT,Hàng gia dụng
KSD,Hàng gia dụng
RAL,Hàng gia dụng
SHE,Hàng gia dụng
TLG,Hàng gia dụng
XHC,Hàng gia dụng
BEL,Hàng hóa giải trí
GLT,Hàng hóa giải trí
NHT,Hàng hóa giải trí
BFC,Hóa chất
BRC,Hóa chất
BRR,Hóa chất
BT1,Hóa chất
CPC,Hóa chất
CSV,Hóa chất
DAG,Hóa chất
DCM,Hóa chất
DDV,Hóa chất
DGC,Hóa chất
DHB,Hóa chất
DOC,Hóa chất
DPM,Hóa chất
DPR,Hóa chất
DRG,Hóa chất
DRI,Hóa chất
DTT,Hóa chất
ECO,Hóa chất
GER,Hóa chất
GVR,Hóa chất
HAI,Hóa chất
HCD,Hóa chất
HII,Hóa chất
HMD,Hóa chất
HNP,Hóa chất
HPH,Hóa chất
HRC,Hóa chất
HSI,Hóa chất
HVT,Hóa chất
IRC,Hóa chất
LAS,Hóa chất
LNC,Hóa chất
NFC,Hóa chất
NHH,Hóa chất
NSG,Hóa chất
PAT,Hóa chất
PCE,Hóa chất
PCH,Hóa chất
PGN,Hóa chất
PHR,Hóa chất
PLC,Hóa chất
PLP,Hóa chất
PMB,Hóa chất
PSE,Hóa chất
PSW,Hóa chất
PVO,Hóa chất
QBS,Hóa chất
RBC,Hóa chất
RDP,Hóa chất
RTB,Hóa chất
SBR,Hóa chất
SEP,Hóa chất
SFG,Hóa chất
SJF,Hóa chất
SPC,Hóa chất
TNC,Hóa chất
TPC,Hóa chất
TRC,Hóa chất
TSC,Hóa chất
VAF,Hóa chất
VET,Hóa chất
VFG,Hóa chất
VKP,Hóa chất
VNP,Hóa chất
AVG,Hóa chất
APP,Hóa chất
ABS,Hóa chất
AAA,Hóa chất
VNY,Hóa chất
VPS,Hóa chất
VTQ,Hóa chất
VTZ,Hóa chất
VXP,Hóa chất
BKC,Khai khoáng
BMC,Khai khoáng
BMJ,Khai khoáng
CLM,Khai khoáng
CST,Khai khoáng
DHM,Khai khoáng
GLC,Khai khoáng
HGM,Khai khoáng
HLC,Khai khoáng
HPM,Khai khoáng
KCB,Khai khoáng
KHD,Khai khoáng
KSB,Khai khoáng
KSH,Khai khoáng
KSV,Khai khoáng
LCM,Khai khoáng
LMC,Khai khoáng
MDC,Khai khoáng
MGC,Khai khoáng
MIC,Khai khoáng
MIM,Khai khoáng
MSR,Khai khoáng
MTA,Khai khoáng
MVB,Khai khoáng
NBC,Khai khoáng
AMC,Khai khoáng
SHN,Khai khoáng
SPI,Khai khoáng
SQC,Khai khoáng
THT,Khai khoáng
TMB,Khai khoáng
BCB,Khai khoáng
TNT,Khai khoáng
TVD,Khai khoáng
VBG,Khai khoáng
VDB,Khai khoáng
VIM,Khai khoáng
ATG,Khai khoáng
ACM,Khai khoáng
AAH,Khai khoáng
VPG,Khai khoáng
YBM,Khai khoáng
BVG,Kim loại
CBI,Kim loại
DFC,Kim loại
DPS,Kim loại
DTL,Kim loại
GDA,Kim loại
HLA,Kim loại
HMC,Kim loại
HMG,Kim loại
HPG,Kim loại
HSG,Kim loại
HSV,Kim loại
ITQ,Kim loại
KKC,Kim loại
KMT,Kim loại
KTL,Kim loại
MEL,Kim loại
MHL,Kim loại
NHV,Kim loại
NKG,Kim loại
NSH,Kim loại
PAS,Kim loại
POM,Kim loại
BCA,Kim loại
SHA,Kim loại
SHI,Kim loại
SMC,Kim loại
SSM,Kim loại
TDS,Kim loại
TIS,Kim loại
TKG,Kim loại
TKU,Kim loại
TLH,Kim loại
TMG,Kim loại
TNA,Kim loại
TNB,Kim loại
TNI,Kim loại
TNS,Kim loại
TTH,Kim loại
TTS,Kim loại
TVN,Kim loại
VCA,Kim loại
VDT,Kim loại
VGL,Kim loại
VGS,Kim loại
KVC,Kim loại
CAP,Lâm nghiệp và Giấy
DHC,Lâm nghiệp và Giấy
DLG,Lâm nghiệp và Giấy
FRC,Lâm nghiệp và Giấy
FRM,Lâm nghiệp và Giấy
GTA,Lâm nghiệp và Giấy
GVT,Lâm nghiệp và Giấy
HAP,Lâm nghiệp và Giấy
HHP,Lâm nghiệp và Giấy
MDF,Lâm nghiệp và Giấy
MZG,Lâm nghiệp và Giấy
PIS,Lâm nghiệp và Giấy
PTB,Lâm nghiệp và Giấy
SAV,Lâm nghiệp và Giấy
SVT,Lâm nghiệp và Giấy
TMW,Lâm nghiệp và Giấy
TQN,Lâm nghiệp và Giấy
TTF,Lâm nghiệp và Giấy
VID,Lâm nghiệp và Giấy
VIF,Lâm nghiệp và Giấy
ACG,Lâm nghiệp và Giấy
BID,Ngân hàng
BVB,Ngân hàng
CTG,Ngân hàng
EIB,Ngân hàng
HDB,Ngân hàng
KLB,Ngân hàng
LPB,Ngân hàng
MBB,Ngân hàng
MSB,Ngân hàng
NAB,Ngân hàng
NVB,Ngân hàng
OCB,Ngân hàng
PGB,Ngân hàng
ACB,Ngân hàng
SGB,Ngân hàng
SHB,Ngân hàng
SSB,Ngân hàng
STB,Ngân hàng
TCB,Ngân hàng
TPB,Ngân hàng
VAB,Ngân hàng
VBB,Ngân hàng
VCB,Ngân hàng
VIB,Ngân hàng
BAB,Ngân hàng
ABB,Ngân hàng
VPB,Ngân hàng
BDW,Nước & Khí đốt
BGW,Nước & Khí đốt
BMF,Nước & Khí đốt
BNW,Nước & Khí đốt
BTW,Nước & Khí đốt
BWA,Nước & Khí đốt
BWE,Nước & Khí đốt
BWS,Nước & Khí đốt
CCI,Nước & Khí đốt
CHS,Nước & Khí đốt
CLW,Nước & Khí đốt
CMW,Nước & Khí đốt
CNG,Nước & Khí đốt
CTW,Nước & Khí đốt
DDG,Nước & Khí đốt
DKW,Nước & Khí đốt
DMS,Nước & Khí đốt
DNA,Nước & Khí đốt
DNN,Nước & Khí đốt
DNW,Nước & Khí đốt
DVC,Nước & Khí đốt
DWC,Nước & Khí đốt
DWS,Nước & Khí đốt
GAS,Nước & Khí đốt
GCB,Nước & Khí đốt
GDW,Nước & Khí đốt
GLW,Nước & Khí đốt
HDW,Nước & Khí đốt
HFC,Nước & Khí đốt
HPW,Nước & Khí đốt
HTC,Nước & Khí đốt
HWS,Nước & Khí đốt
KHW,Nước & Khí đốt
KWA,Nước & Khí đốt
LAW,Nước & Khí đốt
LDW,Nước & Khí đốt
LKW,Nước & Khí đốt
MTG,Nước & Khí đốt
NAW,Nước & Khí đốt
NBT,Nước & Khí đốt
NBW,Nước & Khí đốt
NDW,Nước & Khí đốt
NLS,Nước & Khí đốt
NNT,Nước & Khí đốt
NQB,Nước & Khí đốt
NQN,Nước & Khí đốt
NQT,Nước & Khí đốt
NS2,Nước & Khí đốt
NSL,Nước & Khí đốt
NTW,Nước & Khí đốt
NVP,Nước & Khí đốt
PCG,Nước & Khí đốt
PEG,Nước & Khí đốt
PGC,Nước & Khí đốt
PGD,Nước & Khí đốt
PGS,Nước & Khí đốt
PJC,Nước & Khí đốt
PJS,Nước & Khí đốt
PMG,Nước & Khí đốt
PMW,Nước & Khí đốt
PND,Nước & Khí đốt
POB,Nước & Khí đốt
POV,Nước & Khí đốt
PPT,Nước & Khí đốt
PPY,Nước & Khí đốt
PSH,Nước & Khí đốt
PTH,Nước & Khí đốt
PTX,Nước & Khí đốt
PVG,Nước & Khí đốt
PWS,Nước & Khí đốt
QNW,Nước & Khí đốt
SFC,Nước & Khí đốt
SII,Nước & Khí đốt
STW,Nước & Khí đốt
TAW,Nước & Khí đốt
TBW,Nước & Khí đốt
TDG,Nước & Khí đốt
TDM,Nước & Khí đốt
TDW,Nước & Khí đốt
THN,Nước & Khí đốt
THW,Nước & Khí đốt
TLP,Nước & Khí đốt
TMC,Nước & Khí đốt
TNW,Nước & Khí đốt
TOW,Nước & Khí đốt
TQW,Nước & Khí đốt
UPC,Nước & Khí đốt
VAV,Nước & Khí đốt
VLW,Nước & Khí đốt
ASP,Nước & Khí đốt
VCW,Nước & Khí đốt
VMG,Nước & Khí đốt
VPW,Nước & Khí đốt
VWS,Nước & Khí đốt
DHT,Phân phối thực phẩm & dược phẩm
FHN,Phân phối thực phẩm & dược phẩm
TH1,Phân phối thực phẩm & dược phẩm
AGX,Phân phối thực phẩm & dược phẩm
AFX,Phân phối thực phẩm & dược phẩm
CMG,Phần mềm & Dịch vụ Máy tính
CMT,Phần mềm & Dịch vụ Máy tính
FPT,Phần mềm & Dịch vụ Máy tính
HIG,Phần mềm & Dịch vụ Máy tính
HPT,Phần mềm & Dịch vụ Máy tính
ICT,Phần mềm & Dịch vụ Máy tính
ITD,Phần mềm & Dịch vụ Máy tính
SBD,Phần mềm & Dịch vụ Máy tính
SGT,Phần mềm & Dịch vụ Máy tính
SRA,Phần mềm & Dịch vụ Máy tính
SRB,Phần mềm & Dịch vụ Máy tính
TST,Phần mềm & Dịch vụ Máy tính
UNI,Phần mềm & Dịch vụ Máy tính
VLA,Phần mềm & Dịch vụ Máy tính
BGE,Sản xuất & Phân phối Điện
BHA,Sản xuất & Phân phối Điện
BSA,Sản xuất & Phân phối Điện
BTP,Sản xuất & Phân phối Điện
CHP,Sản xuất & Phân phối Điện
DNC,Sản xuất & Phân phối Điện
DNH,Sản xuất & Phân phối Điện
DRL,Sản xuất & Phân phối Điện
DTE,Sản xuất & Phân phối Điện
DTK,Sản xuất & Phân phối Điện
GEG,Sản xuất & Phân phối Điện
GHC,Sản xuất & Phân phối Điện
GSM,Sản xuất & Phân phối Điện
HIO,Sản xuất & Phân phối Điện
HJS,Sản xuất & Phân phối Điện
HNA,Sản xuất & Phân phối Điện
HND,Sản xuất & Phân phối Điện
HPD,Sản xuất & Phân phối Điện
HTE,Sản xuất & Phân phối Điện
ISH,Sản xuất & Phân phối Điện
KHP,Sản xuất & Phân phối Điện
NBP,Sản xuất & Phân phối Điện
ND2,Sản xuất & Phân phối Điện
NT2,Sản xuất & Phân phối Điện
NTH,Sản xuất & Phân phối Điện
PGV,Sản xuất & Phân phối Điện
PIC,Sản xuất & Phân phối Điện
POW,Sản xuất & Phân phối Điện
PPC,Sản xuất & Phân phối Điện
QPH,Sản xuất & Phân phối Điện
QTP,Sản xuất & Phân phối Điện
S4A,Sản xuất & Phân phối Điện
SBA,Sản xuất & Phân phối Điện
SBH,Sản xuất & Phân phối Điện
SEB,Sản xuất & Phân phối Điện
SHP,Sản xuất & Phân phối Điện
SJD,Sản xuất & Phân phối Điện
SMA,Sản xuất & Phân phối Điện
SP2,Sản xuất & Phân phối Điện
SVH,Sản xuất & Phân phối Điện
TBC,Sản xuất & Phân phối Điện
TDB,Sản xuất & Phân phối Điện
TMP,Sản xuất & Phân phối Điện
TTA,Sản xuất & Phân phối Điện
TTE,Sản xuất & Phân phối Điện
UIC,Sản xuất & Phân phối Điện
VCP,Sản xuất & Phân phối Điện
AVC,Sản xuất & Phân phối Điện
REE,Sản xuất & Phân phối Điện
VPD,Sản xuất & Phân phối Điện
VSH,Sản xuất & Phân phối Điện
XMP,Sản xuất & Phân phối Điện
BSR,Sản xuất Dầu khí
OIL,Sản xuất Dầu khí
PLX,Sản xuất Dầu khí
BCF,Sản xuất thực phẩm
BLF,Sản xuất thực phẩm
BLT,Sản xuất thực phẩm
BMV,Sản xuất thực phẩm
BNA,Sản xuất thực phẩm
C22,Sản xuất thực phẩm
CAD,Sản xuất thực phẩm
CAN,Sản xuất thực phẩm
CAT,Sản xuất thực phẩm
CBS,Sản xuất thực phẩm
CCA,Sản xuất thực phẩm
CLX,Sản xuất thực phẩm
CMF,Sản xuất thực phẩm
CMM,Sản xuất thực phẩm
CMN,Sản xuất thực phẩm
CMX,Sản xuất thực phẩm
CNA,Sản xuất thực phẩm
DAT,Sản xuất thực phẩm
DBC,Sản xuất thực phẩm
DMN,Sản xuất thực phẩm
FCS,Sản xuất thực phẩm
FMC,Sản xuất thực phẩm
GCF,Sản xuất thực phẩm
HAF,Sản xuất thực phẩm
HAG,Sản xuất thực phẩm
HDS,Sản xuất thực phẩm
HHC,Sản xuất thực phẩm
HKB,Sản xuất thực phẩm
HNF,Sản xuất thực phẩm
HNG,Sản xuất thực phẩm
HNM,Sản xuất thực phẩm
HSL,Sản xuất thực phẩm
ICF,Sản xuất thực phẩm
IDI,Sản xuất thực phẩm
IDP,Sản xuất thực phẩm
ILA,Sản xuất thực phẩm
AIG,Sản xuất thực phẩm
JOS,Sản xuất thực phẩm
KDC,Sản xuất thực phẩm
KHS,Sản xuất thực phẩm
KTC,Sản xuất thực phẩm
KTS,Sản xuất thực phẩm
LAF,Sản xuất thực phẩm
LSS,Sản xuất thực phẩm
LTG,Sản xuất thực phẩm
MCF,Sản xuất thực phẩm
MCH,Sản xuất thực phẩm
MCM,Sản xuất thực phẩm
MLS,Sản xuất thực phẩm
MML,Sản xuất thực phẩm
MPC,Sản xuất thực phẩm
MSN,Sản xuất thực phẩm
NCG,Sản xuất thực phẩm
NCS,Sản xuất thực phẩm
NDF,Sản xuất thực phẩm
NGC,Sản xuất thực phẩm
NSC,Sản xuất thực phẩm
NSS,Sản xuất thực phẩm
OCH,Sản xuất thực phẩm
PAN,Sản xuất thực phẩm
APT,Sản xuất thực phẩm
PRO,Sản xuất thực phẩm
PSL,Sản xuất thực phẩm
QNS,Sản xuất thực phẩm
SAF,Sản xuất thực phẩm
SBT,Sản xuất thực phẩm
SEA,Sản xuất thực phẩm
SJ1,Sản xuất thực phẩm
SNC,Sản xuất thực phẩm
SPD,Sản xuất thực phẩm
SPH,Sản xuất thực phẩm
SPV,Sản xuất thực phẩm
SSC,Sản xuất thực phẩm
SSN,Sản xuất thực phẩm
TAR,Sản xuất thực phẩm
TCJ,Sản xuất thực phẩm
TFC,Sản xuất thực phẩm
THP,Sản xuất thực phẩm
TS4,Sản xuất thực phẩm
TT6,Sản xuất thực phẩm
UXC,Sản xuất thực phẩm
AGM,Sản xuất thực phẩm
VHC,Sản xuất thực phẩm
VHF,Sản xuất thực phẩm
VLC,Sản xuất thực phẩm
VLF,Sản xuất thực phẩm
VNH,Sản xuất thực phẩm
VNM,Sản xuất thực phẩm
AVF,Sản xuất thực phẩm
BAF,Sản xuất thực phẩm
BBC,Sản xuất thực phẩm
ASM,Sản xuất thực phẩm
ATA,Sản xuất thực phẩm
ANT,Sản xuất thực phẩm
ANV,Sản xuất thực phẩm
APF,Sản xuất thực phẩm
AGF,Sản xuất thực phẩm
ABT,Sản xuất thực phẩm
ACL,Sản xuất thực phẩm
AAM,Sản xuất thực phẩm
HVG,Sản xuất thực phẩm
SGC,Sản xuất thực phẩm
SLS,Sản xuất thực phẩm
VOC,Sản xuất thực phẩm
VSF,Sản xuất thực phẩm
VSN,Sản xuất thực phẩm
CVN,Thiết bị và Dịch vụ Y tế
DNM,Thiết bị và Dịch vụ Y tế
DTH,Thiết bị và Dịch vụ Y tế
JVC,Thiết bị và Dịch vụ Y tế
MEF,Thiết bị và Dịch vụ Y tế
MRF,Thiết bị và Dịch vụ Y tế
